web-scraper-order,web-scraper-start-url,image-src,title,price,stock,view,sale,item-id
"1561570015-308","https://banhang.shopee.vn/portal/product/list/all?page=2&size=99&order=popularity_dsc","https://cf.shopee.vn/file/69211d591ba3009986f5e79e804759a8_tn","Chì bấm hình chuột Micky - CHOSCH - Mã CS-8309","₫5.000","30","16","0","2299942870"
"1561570015-301","https://banhang.shopee.vn/portal/product/list/all?page=2&size=99&order=popularity_dsc","https://cf.shopee.vn/file/504a7d3793d21a80201f33cb93e8b301_tn","Chì khúc thay ngòi kẹo- nơ - Mã LT1317","₫4.000","40","6","0","2299942880"
"1561570015-233","https://banhang.shopee.vn/portal/product/list/all?page=2&size=99&order=popularity_dsc","https://cf.shopee.vn/file/6bd876e7e4a2e8df8430f19334f2059e_tn","Bút nước đen cừu mặt trăng","₫5.000","50","1","0","2344686521"
"1561570015-241","https://banhang.shopee.vn/portal/product/list/all?page=2&size=99&order=popularity_dsc","https://cf.shopee.vn/file/a1db1975c5d14a58d713f6b1cc6eec6e_tn","Bút lông kim TTORU","₫6.000","12","5","0","2344582027"
"1561570015-400","https://banhang.shopee.vn/portal/product/list/all?page=2&size=99&order=popularity_dsc","https://cf.shopee.vn/file/504a7d3793d21a80201f33cb93e8b301_tn","Chì khúc thay ngòi kẹo- nơ - Mã LT1317","₫4.000","40","6","0","2299942880"
"1561570003-18","https://banhang.shopee.vn/portal/product/list/all?page=4&size=99&order=popularity_dsc","https://cf.shopee.vn/file/83bf0ef278c1970880d75e437e887ae8_tn","Bút xóa kéo mini","₫4.000","100","26","0","1988665030"
"1561570009-174","https://banhang.shopee.vn/portal/product/list/all?page=3&size=99&order=popularity_dsc","https://cf.shopee.vn/file/f34576015ffdfcd4e50cd8ca2bd6f095_tn","Bút nước đen hươu","₫5.000","0","0","0","2195124570"
"1561570009-24","https://banhang.shopee.vn/portal/product/list/all?page=3&size=99&order=popularity_dsc","https://cf.shopee.vn/file/086a8acef3c4dc938dd742008d7a6bb8_tn","Bút nước đen hình cú mèo (mẫu mới)","₫5.000","50","1","0","2299869232"
"1561570009-122","https://banhang.shopee.vn/portal/product/list/all?page=3&size=99&order=popularity_dsc","https://cf.shopee.vn/file/975b4c4f2f0db18ea0ee434841f024cd_tn","Bộ dụng cụ học tập không có kéo","₫9.000","99","26","0","2299869236"
"1561570009-182","https://banhang.shopee.vn/portal/product/list/all?page=3&size=99&order=popularity_dsc","https://cf.shopee.vn/file/c31cf69e0a55a72757ccc4ba798124b8_tn","Chuốt bút chì hình chuột đứng","₫5.000","100","1","0","2182868314"
"1561570009-207","https://banhang.shopee.vn/portal/product/list/all?page=3&size=99&order=popularity_dsc","https://cf.shopee.vn/file/122c94fdda07b755b481f012a04d522c_tn","Chuốt chì đồng hồ","₫5.000","0","6","0","2171892841"
"1561570021-459","https://banhang.shopee.vn/portal/product/list/all?page=1&size=99&order=popularity_dsc","https://cf.shopee.vn/file/f24c34fbf3c4077f1747c167c6e68280_tn","Dấu in hoạt hình dễ thương","₫5.000","7","38","3","1988631629"
"1561570015-287","https://banhang.shopee.vn/portal/product/list/all?page=2&size=99&order=popularity_dsc","https://cf.shopee.vn/file/0e955837403a8dae9d325df3d587b520_tn","Bóp viết nhựa trong in hình - Nhiều Mẫu","₫20.000","21","49","0","2306676534"
"1561570009-53","https://banhang.shopee.vn/portal/product/list/all?page=3&size=99&order=popularity_dsc","https://cf.shopee.vn/file/cb53a2b7880a605838e275cd8b5bf207_tn","Bóp bút xinh","₫16.000","160","3","0","2226262639"
"1561570015-397","https://banhang.shopee.vn/portal/product/list/all?page=2&size=99&order=popularity_dsc","https://cf.shopee.vn/file/1d85b776c6dba7e0067a98fe92d2c74a_tn","Chuốt bút chì hình chuột đuôi","₫4.000","48","6","0","2301511728"
"1561570021-425","https://banhang.shopee.vn/portal/product/list/all?page=1&size=99&order=popularity_dsc","https://cf.shopee.vn/file/1ff3b2b1a9c7a60117fd585e828072bf_tn","Sổ kim tuyến 3D","₫10.000","40","22","10","2317193693"
"1561570009-193","https://banhang.shopee.vn/portal/product/list/all?page=3&size=99&order=popularity_dsc","https://cf.shopee.vn/file/a20524d43e6efa7562d78d44e728b7b2_tn","Bút nước mắt kiếng","₫5.000","7","18","0","2172678077"
"1561570009-55","https://banhang.shopee.vn/portal/product/list/all?page=3&size=99&order=popularity_dsc","https://cf.shopee.vn/file/b2de94c812e28f91c80e06e9ac2aef0f_tn","Chì 2B Deli","₫4.000","99","11","0","2203271600"
"1561570015-411","https://banhang.shopee.vn/portal/product/list/all?page=2&size=99&order=popularity_dsc","https://cf.shopee.vn/file/e122d7538bfd6cffe2a090596f2aad58_tn","Gôm hình Robot - Mã 6135","₫3.000","36","0","0","2299923568"
"1561570009-41","https://banhang.shopee.vn/portal/product/list/all?page=3&size=99&order=popularity_dsc","https://cf.shopee.vn/file/493ef76e788d8d8fd02b2c72e1ca682d_tn","Bút nước khủng long nhiều mẫu","₫5.000","0","0","0","2253745734"
"1561570009-105","https://banhang.shopee.vn/portal/product/list/all?page=3&size=99&order=popularity_dsc","https://cf.shopee.vn/file/1ff5ef0f2eb414b7355a209b60747536_tn","Chuốt bút chì hình mèo ngồi xô - Mã 360","₫5.000","75","9","0","2171936270"
"1561570009-108","https://banhang.shopee.vn/portal/product/list/all?page=3&size=99&order=popularity_dsc","https://cf.shopee.vn/file/122c94fdda07b755b481f012a04d522c_tn","Chuốt chì đồng hồ","₫5.000","0","6","0","2171892841"
"1561570015-229","https://banhang.shopee.vn/portal/product/list/all?page=2&size=99&order=popularity_dsc","https://cf.shopee.vn/file/eb2ccfd66380ee7eb3d44e4468ebd232_tn","Bút nước đen kem ốc quế ( mẫu 2)","₫5.000","49","0","0","2344686527"
"1561570015-253","https://banhang.shopee.vn/portal/product/list/all?page=2&size=99&order=popularity_dsc","https://cf.shopee.vn/file/6cdcec8de2d96e4b77661c3c996440a8_tn","Combo 100 bóp bút","₫1.300.000","1","6","0","2330491779"
"1561570003-6","https://banhang.shopee.vn/portal/product/list/all?page=4&size=99&order=popularity_dsc","https://cf.shopee.vn/file/8527cdc265560ea352d93adbed1f6cff_tn","Chuông lắc cầm tay","₫35.000","5","18","0","2068979053"
"1561570021-486","https://banhang.shopee.vn/portal/product/list/all?page=1&size=99&order=popularity_dsc","https://cf.shopee.vn/file/b35db8f79c7253c75d63d9a1a523cf5b_tn","Bút dạ quang yamayo - Vỉ 4 cây","₫19.000","100","16","1","2299869226"
"1561570009-133","https://banhang.shopee.vn/portal/product/list/all?page=3&size=99&order=popularity_dsc","https://cf.shopee.vn/file/4f33bdb42634c5ca21df9046be954487_tn","Bóp bút BTS","₫20.000","2","65","0","2283516276"
"1561570009-170","https://banhang.shopee.vn/portal/product/list/all?page=3&size=99&order=popularity_dsc","https://cf.shopee.vn/file/bb0c9ffdb01ecac0a5c442af9dc27803_tn","Bút nước xanh hình thìa","₫5.000","0","0","0","2195155670"
"1561570015-269","https://banhang.shopee.vn/portal/product/list/all?page=2&size=99&order=popularity_dsc","https://cf.shopee.vn/file/3b27b7b52a34b2a93c5df58c6124445d_tn","Giấy bao tập + nhãn + giấy kiếng ( 1 xấp - 10 tờ)","₫20.000","15","89","0","2317197885"
"1561570021-477","https://banhang.shopee.vn/portal/product/list/all?page=1&size=99&order=popularity_dsc","https://cf.shopee.vn/file/a41aa4a1faef9afb9b6dfaba367b2894_tn","Combo hộp bút","₫179.000","0","0","1","2322168595"
"1561570009-114","https://banhang.shopee.vn/portal/product/list/all?page=3&size=99&order=popularity_dsc","https://cf.shopee.vn/file/4e59f4973959fbb14f8ecdf9b3ed8792_tn","Sổ mini - Nhiều hình","₫4.000","60","10","0","2161603155"
"1561570009-124","https://banhang.shopee.vn/portal/product/list/all?page=3&size=99&order=popularity_dsc","https://cf.shopee.vn/file/f046f1b9a528fe312708613b6c40aef9_tn","Bút nước xanh hình cây thương - Mã 666","₫5.000","24","7","0","2299869225"
